Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
12131976956,"5 Aug 2024, 22:43:43",Morning Run,Run,"",606352,3.51,,,false,"",,activities/12131976956.gpx,,,606352.0,2844.0,3518.389892578125,11.48799991607666,1.2371273040771484,6.900000095367432,2.8499999046325684,9.5,16.5,15.34186840057373,-0.017053255811333656,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3543.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.005802553612738848,0.0,,,,4066.0,,,,,1.24578058719635,,,""
12140919676,"12 Aug 2024, 23:09:54",Morning Run,Run,"",2631,6.28,,,false,"",,activities/12140919676.gpx,,,2631.0,2141.0,6279.64013671875,16.093944549560547,2.9330406188964844,27.132762908935547,26.286731719970703,9.5,18.299999237060547,12.643749237060547,0.0047773439437150955,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6314.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.3867883682250977,0.0,,,,5168.0,,,,,2.9491360187530518,,,""
12141197813,"13 Aug 2024, 22:55:27",Morning Run,Run,,2708,5.48,,,false,,,activities/12141197813.gpx,,,2708.0,2482.0,5480.86962890625,4.606054782867432,2.208247423171997,20.094465255737305,20.72024154663086,9.5,17.600000381469727,15.306427955627441,-0.007298111449927092,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5515.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0239548683166504,1041.0999755859375,,,,6872.0,,,,,2.222320795059204,,,media/DE676412-33DC-4A77-ADA4-D7FBFCDF669E.mp4
12166083913,"16 Aug 2024, 23:03:21",Morning Run,Run,,1615,3.30,,,false,,,activities/12166083913.gpx,,,1615.0,1440.0,3308.830078125,4.147997856140137,2.2977986335754395,31.823040008544922,25.650312423706055,44.900001525878906,53.099998474121094,7.954542636871338,0.16924411058425903,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3365.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.048811197280884,0.0,,,,4084.0,,,,,2.336944341659546,,,media/E1C13B20-1EAE-48EC-BAF7-86C2B0D6A270.jpg
12185326527,"19 Aug 2024, 08:45:49",Evening Run,Run,,1792,3.78,,,false,,,activities/12185326527.gpx,,,1792.0,1548.0,3781.760009765625,4.518017768859863,2.442997455596924,27.883493423461914,22.000885009765625,44.900001525878906,52.900001525878906,13.2689847946167,0.13750211894512177,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3825.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.1103570461273193,0.0,,,,4346.0,,,,,2.4712531566619873,,,media/5720841B-28C1-41AA-AA9D-DD2662464A7F.jpg
12218005613,"22 Aug 2024, 23:16:31",Morning Run,Run,,3135,5.71,,,false,,,activities/12218005613.gpx,,,3135.0,2645.0,5715.830078125,4.141992092132568,2.160994291305542,26.39397621154785,26.38286590576172,44.900001525878906,52.0,7.240542411804199,0.012246690690517426,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5739.7998046875,1724367616.0,3.0,12.479999542236328,7.940000057220459,7.96999979019165,0.7400000095367432,1020.8900146484375,4.559999942779541,9.199999809265137,8.0,0.0,1724360064.0,1724399488.0,0.625,,,0.6899999976158142,5.0,1.0,32339.0,1.0,,,,,0.0,1.8232312202453613,0.0,,,,6806.0,,,,,2.1700568199157715,,,media/5E2BA8C4-E5E7-4B43-BD15-7A99EF1C324C.jpg
12233764925,"24 Aug 2024, 22:33:06",Morning Run,Run,,1543,3.87,,,false,,,activities/12233764925.gpx,,,1543.0,1443.0,3876.6298828125,4.686010837554932,2.686507225036621,17.416582107543945,17.963233947753906,44.099998474121094,52.400001525878906,9.950301170349121,-0.023216040804982185,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3889.39990234375,1724536832.0,3.0,13.960000038146973,10.15999984741211,8.989999771118164,0.7200000286102295,1008.0599975585938,4.610000133514404,9.420000076293945,20.0,0.0,1724532736.0,1724572416.0,0.625,,,0.6200000047683716,5.0,0.9200000166893005,29569.0,0.0,,,,,0.0,2.5123977661132812,0.0,,,,4304.0,,,,,2.695356845855713,,,media/0CEC6C89-B7CC-473C-B8BE-DD63DAA8DAEC.jpg
12242822397,"25 Aug 2024, 22:37:20",Morning Run,Run,,3985,9.76,,,false,,,activities/12242822397.gpx,,,3985.0,3900.0,9762.1396484375,15.31396484375,2.50311279296875,90.36781311035156,61.160667419433594,9.5,54.0,39.47317886352539,0.2673594057559967,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9963.400390625,1724623232.0,2.0,12.600000381469727,10.329999923706055,8.670000076293945,0.7699999809265137,1014.2999877929688,3.7899999618530273,7.429999828338623,312.0,0.0,1724619008.0,1724658816.0,0.625,,,0.0,1.0,0.5,29354.0,0.0,,,,,2.0,2.449721336364746,0.0,,,,5504.0,,,,,2.554718017578125,,,""
12259726800,"27 Aug 2024, 22:36:38",Morning Run,Run,,2129,4.74,,,false,,,activities/12259726800.gpx,,,2129.0,1801.0,4747.1796875,4.810009956359863,2.6358578205108643,19.443798065185547,19.415319442749023,44.900001525878906,52.0,9.049758911132812,-0.0273846797645092,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4759.2001953125,1724796032.0,8.0,12.779999732971191,6.679999828338623,5.679999828338623,0.6200000047683716,1003.7999877929688,7.599999904632568,15.449999809265137,286.0,0.009999999776482582,1724791680.0,1724831744.0,0.875,,,0.5099999904632568,5.0,0.6399999856948853,28314.740234375,0.0,,,,,0.0,2.229769706726074,0.0,,,,5292.0,,,,,2.6425318717956543,,,""
12271358533,"29 Aug 2024, 09:48:29",Evening Run,Run,,1337,3.21,,,false,,,activities/12271358533.gpx,,,1337.0,1233.0,3211.780029296875,4.439990043640137,2.6048500537872314,26.91135025024414,23.480777740478516,43.70000076293945,55.79999923706055,6.528790473937988,0.10274676233530045,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3247.60009765625,1724921984.0,2.0,15.479999542236328,10.239999771118164,7.0,0.5699999928474426,1004.3300170898438,6.349999904632568,13.40999984741211,353.0,0.0,1724877952.0,1724918144.0,0.875,,,0.30000001192092896,5.0,0.6000000238418579,33338.0,0.0,,,,,0.0,2.402228832244873,0.0,,,,3560.0,,,,,2.6339011192321777,,,""
